Contestant,Question,Label
Jennifer English,Which of the following is not the name of a geometric figure?,wh-subject
Jennifer English,"In May 2002, who sued Penthouse magazine for misidentifying another woman's photos as hers?",wh-subject
Jennifer English,How many dots appear on a standard pair of dice?,wh-subject
Jennifer English,"What does the ""E"" stand for in the Disney acronym ""EPCOT""?",ex-situ
Jennifer English,A martini made with pearl onions instead of olives is usually called a what?,in-situ
Jennifer English,The aqueous humor is a fluid located in what part of the human body?,in-situ
Jennifer Ferrer,"In a classic Seinfeld episode, Jerry finally remembers what woman’s name by recalling that it rhymes with a female body part?",in-situ
Jennifer Ferrer,"Due to a strict grooming policy, which of the following schools requires all male students to be clean-shaven or carry a pre-approved “beard card”?",wh-subject
Jennifer Ferrer,"To purposely infect their child with the disease as an alternative to vaccination, some parents are now having what type of “party”?",in-situ
Jennifer Ferrer,What famous Native American was given the birth name “Jumping Badger” before it was changed in his teens?,wh-subject
Jennifer Ferrer,"Popularized by a Fat Joe video where money is literally thrown around, tossing dollar bills into the air is often called “making it” what?",in-situ
Jennifer Ferrer,"In 2013, the BBC reported that the Indian Army spent six months tracking what they thought were spy drones before realizing that they were what?",in-situ
Jennifer Hill,"In a courtroom, ""Guilty"" and ""Not guilty"" are responses provided after a judge asks what question?",in-situ
Jennifer Hill,Which of these athletes would most likely visit a driving range in order to improve his professional career?,wh-subject
Jennifer Hill,"The French phrase ""crème de la crème"" is often used to describe something that is what?",in-situ
Jennifer Hill,"In 2007, what comedian replaced Bob Barker as the host of ""The Price is Right""?",wh-subject
Jennifer Hill,Chronometry is the science of measuring what?,in-situ
Jennifer Hill,"During what war were soldiers on one side given the nickname ""Johnny Reb""?",ex-situ
Jennifer Hill,"In a poster promoting reading, what Hollywood hunk is holding ""Dubliners"", a novel written by a fellow countryman?",wh-subject
Jennifer Hill,"Which of these drugstore brands often comes with ""enteric coating""?",wh-subject
Jennifer Hill,"Excluding tornadoes, one of the fastest surface wind speeds ever recorded was in 1934 on Mount Washington in what U.S. state?",in-situ
Jennifer Hill,"In the card game baccarat, what is the best score a player can achieve in a single hand?",wh-subject
Jennifer Kain,"Founded in 1977, Victoria's Secret stores specialize in selling what?",in-situ
Jennifer Kain,"The classic book ""The Black Stallion"" tells the tale of a boy and his adventures with a wild what?",in-situ
Jennifer Kain,"In a classic episode of TV's ""The Brady Bunch,"" Jan complains that all day long she hears about whom?",in-situ
Jennifer Kain,"First practiced in the Far East, bonsai is the ancient art of growing and tending what?",in-situ
Jennifer Kain,"Barry Manilow's hit single ""Copacabana"" tells the story of a showgirl named what?",in-situ
Jennifer Kain,"In 2003, what city's tourism board introduced the slogan, ""What happens here, stays here""?",wh-subject
Jennifer Kain,How many men are currently on the U.S. Supreme Court?,wh-subject
Jennifer Kain,"Which of these Girl Scout cookie varieties are often referred to as ""Peanut Butter Patties""?",wh-subject
Jennifer Kain,"On a standard computer keyboard, what punctuation mark shares a key with the number 1?",wh-subject
Jennifer Kain,Which of these countries does not recognize England's Queen Elizabeth II as its head of state?,wh-subject
Jennifer Kiesel,"In the 1860s, a group of Virginia inhabitants split from the state to create a new U.S. state known today as what?",in-situ
Jennifer Kiesel,"By definition, a landlocked country does not border which of the following?",in-situ
Jennifer Kiesel,"Every year, what drugstore brand holds a nationwide competition called the Rotten Sneaker Contest?",wh-subject
Jennifer Kiesel,Which of these guitar parts shares it name with a verb meaning “to worry”?,wh-subject
Jennifer Kiesel,“Yo Capeesh!” is the title of a humor book that bills itself as a “Guide to Understanding” what demographic?,in-situ
Jennifer Kiesel,The U.S. Department of Agriculture requires labels with the term “yam” to be accompanied by what other food name?,in-situ
Jennifer Kiesel,Nineteenth-century Russian business Pyotr Smirnov is the subject of a 2009 biography title “The King of” what?,in-situ
Jennifer Kiesel,"A popular alternative to Equal or Sweet ’N Low, Splenda is a sugar substitute that comes in what color packets?",in-situ
Jennifer Kiesel,What ‘80s hair-metal star made “headlines” when he was knocked down by a piece of scenery while performing at the 2009 Tony Awards?,wh-subject
Jennifer Kiesel,"When Richard Nixon wrote his famous letter, “I hereby resign the Office of President of the United States,” he addressed it to whom?",in-situ
Jennifer Menges,The well-known fairy tale character Goldilocks gets her name from her what?,in-situ
Jennifer Menges,"By definition, two people who are ""roomies"" share the same what?",in-situ
Jennifer Menges,"On the TV series ""America's Next Top Model,"" Tyra Banks coaches contestants to ""smize,"" or do what with their eyes?",in-situ
Jennifer Menges,"In 2009, a provision called the ""public option"" gained notoriety in a national debate over what issue?",in-situ
Jennifer Menges,"Which of these casual dining chains offers a dessert fittingly called the ""Great Wall of Chocolate""?",wh-subject
Jennifer Menges,"In fashion, what name is given to a tight-fitting knee-length skirt with a straight and narrow cut?",wh-subject
Jennifer Menges,King Solomon famously demonstrated his wisdom by settling a dispute between two women over a what?,in-situ
Jennifer Menges,"What summer blockbuster opens with the line ""Before time began, there was the Cube""?",wh-subject
Jennifer Menges,The popular Ed Hardy line of clothing and accessories is named after a person with what profession?,in-situ
Jennifer Menges,"""Laodicean,"" the winning word in the 2009 Scripps National Spelling Bee, is an adjective meaning what?",in-situ
Jennifer Morgan,"What is a common phrase that means ""having an emotional outburst""?",wh-subject
Jennifer Morgan,What country shares its name with the word for fine dishware?,wh-subject
Jennifer Morgan,Which of these slang phrases is commonly used to describe movies that appeal especially to women?,wh-subject
Jennifer Morgan,On what part of the body would an injured person normally wear a cervical collar?,ex-situ
Jennifer Morgan,How many events make up a pentathlon?,wh-subject
Jennifer Morgan,"In May 2000, what TV sidekick left his position on a late-night show to pursue an acting career?",wh-subject
Jennifer Morgan,"In 1995, what celebrity appeared as George Washington on the cover of the first issue of George Magazine?",wh-subject
Jennifer Morgan,"The belief that ""What will be will be"" is most closely associated with what philosophical view?",in-situ
Jennifer Morgan,"Which of these Emmy-winning actors has not played a villain in one of the ""Star Trek"" films?",wh-subject
Jennifer Morgan,Which of these countries did not exist before World War I?,wh-subject
Jennifer Morgan,"What baseball announcer makes a vocal cameo on the 1977 Meat Loaf song ""Paradise by the Dashboard Light""?",wh-subject
Jennifer Morgan,What is the last name of the classic children's doll Barbie?,wh-subject
Jennifer Morgan,"In ""The Canterbury Tales,"" the best storyteller is to receive what prize?",in-situ
Jennifer Mullins,What did the character Little Bo-Peep lose?,ex-situ
Jennifer Mullins,"Which of the following candies is mentioned in the song ""Take Me Out to the Ball Game""?",wh-subject
Jennifer Mullins,What color are lobsters when they are properly cooked?,ex-situ
Jennifer Mullins,What are Girl Scouts between the ages of 6 and 8 called in the U.S.?,ex-situ
Jennifer Mullins,Which of the following flowers is associated with Christmas?,wh-subject
Jennifer Mullins,What substance is measured by its octane number?,wh-subject
Jennifer Mullins,"What actor gained 50 pounds in order to play boxer Jake La Motta in the movie ""Raging Bull""?",wh-subject
Jennifer Mullins,What author's mystery novels reflect his early career as a steeplechase jockey?,wh-subject
Jennifer Mullins,Ziggy Stardust is a former persona of which of the following performers?,in-situ
Jennifer Mullins,"At what fictional hospital does the TV series ""ER"" take place?",ex-situ
Jennifer Mullins,In what world capital would you find the Forbidden City?,ex-situ
Jennifer Mullins,How many strings are found on a standard violin?,wh-subject
Jennifer Nijak,"If you stand with feet together and arms straight out to the sides at shoulder level, what do you most resemble?",ex-situ
Jennifer Nijak,Cracker Jack snacks consist of caramel-coated popcorn and what other food?,in-situ
Jennifer Nijak,"Which of the following is another name for the cry of a sheep, goat or calf?",wh-subject
Jennifer Nijak,What crime are you committing if you lie while under oath?,ex-situ
Jennifer Nijak,What is the common term for the starting point of a web site?,wh-subject
Jennifer Nijak,"Who is the voice announcing the TV identification line ""This is CNN""?",wh-subject
Jennifer Nijak,"What do the initials ""AM"" stand for in 9 o'clock AM?",ex-situ
Jennifer Nijak,In what U.S. national park would you find the large mass of granite called El Capitan?,ex-situ
Jennifer Nijak,"In the 1998 book ""Bridget Jones's Diary,"" the main character lives in what city?",in-situ
Jennifer Perrine,Which of the following substances would a termite most likely eat?,ex-situ
Jennifer Perrine,"A person who judges things in absolute terms is said to ""see the world in"" what?",in-situ
Jennifer Perrine,"""Bean counter"" is a nickname for a member of which of the following professions?",in-situ
